yearID,teamID,League,Wins,Losses,WinPct,AvgSalary_Mil
2006,MIL,NL,75,87,0.46296295523643494,57.568333
2016,PIT,NL,78,84,0.48148149251937866,103.778833
2012,BOS,AL,69,93,0.42592594027519226,173.186617
2009,SDN,NL,75,87,0.46296295523643494,43.3337
2008,NYN,NL,89,73,0.5493826866149902,137.793376
2016,PHI,NL,71,91,0.4382716119289398,58.98
2006,CHA,AL,90,72,0.5555555820465088,102.75066700000001
2008,LAA,AL,100,62,0.6172839403152466,119.216333
2016,SEA,AL,86,76,0.5308641791343689,135.683339
2016,TBA,AL,68,94,0.4197530746459961,57.09731
2013,NYN,NL,74,88,0.45679011940956116,49.448346
2014,LAA,AL,98,64,0.604938268661499,121.98825
2009,HOU,NL,74,88,0.45679011940956116,102.996414
2016,BOS,AL,93,69,0.5740740895271301,188.545761
2011,NYN,NL,77,85,0.4753086566925049,118.847309
2007,BOS,AL,96,66,0.5925925970077515,143.026214
2015,MIL,NL,68,94,0.4197530746459961,100.85
2016,KCA,AL,81,81,0.5,131.487125
2006,CIN,NL,80,82,0.4938271641731262,60.909519
2012,LAA,AL,89,73,0.5493826866149902,154.485166
2008,LAN,NL,84,78,0.5185185074806213,118.588536
2013,BOS,AL,97,65,0.5987654328346252,151.53
2013,SLN,NL,97,65,0.5987654328346252,92.26011
2014,PHI,NL,73,89,0.4506172835826874,180.944967
2005,KCA,AL,56,106,0.34567901492118835,36.881
2010,SFN,NL,92,70,0.5679012537002563,98.641333
2005,BAL,AL,74,88,0.45679011940956116,73.914333
2011,BOS,AL,90,72,0.5555555820465088,161.762475
2016,CLE,AL,94,67,0.5838509202003479,74.3119
2013,SDN,NL,76,86,0.4691357910633087,65.5855
2016,BAL,AL,89,73,0.5493826866149902,161.863456
2009,CHA,AL,79,83,0.48765432834625244,96.0685
2013,OAK,AL,96,66,0.5925925970077515,60.1325
2005,LAA,AL,95,67,0.5864197611808777,94.867822
2007,LAA,AL,94,68,0.5802469253540039,109.251333
2009,ATL,NL,86,76,0.5308641791343689,96.726166
2013,MIL,NL,74,88,0.45679011940956116,76.947033
2005,ARI,NL,77,85,0.4753086566925049,62.329166
2013,TOR,AL,74,88,0.45679011940956116,126.2881
2010,HOU,NL,76,86,0.4691357910633087,92.3555
2013,BAL,AL,85,77,0.5246913433074951,84.393333
2016,CHN,NL,103,59,0.6358024477958679,154.067668
2009,TBA,AL,84,78,0.5185185074806213,63.313034
2008,MIN,AL,88,75,0.5398772954940796,56.932766
2010,MIN,AL,94,68,0.5802469253540039,97.559166
2007,TBA,AL,66,96,0.40740740299224854,24.1235
2007,KCA,AL,69,93,0.42592594027519226,67.1165
2012,ATL,NL,94,68,0.5802469253540039,82.829942
2013,COL,NL,74,88,0.45679011940956116,74.409071
2013,WAS,NL,86,76,0.5308641791343689,113.70327
2012,KCA,AL,72,90,0.4444444477558136,60.916225
2006,ATL,NL,79,83,0.48765432834625244,90.156876
2014,NYN,NL,79,83,0.48765432834625244,85.55699
2014,WAS,NL,96,66,0.5925925970077515,131.98368
2010,ATL,NL,91,71,0.5617284178733826,84.423666
2006,NYA,AL,97,65,0.5987654328346252,194.663079
2012,NYA,AL,95,67,0.5864197611808777,196.522289
2015,OAK,AL,68,94,0.4197530746459961,79.053501
2008,TOR,AL,86,76,0.5308641791343689,97.7939
2012,TEX,AL,93,69,0.5740740895271301,120.510974
2013,PHI,NL,73,89,0.4506172835826874,169.863189
2016,ARI,NL,69,93,0.42592594027519226,87.439063
2016,TEX,AL,95,67,0.5864197611808777,176.038723
2015,CHN,NL,97,65,0.5987654328346252,115.87931
2007,PHI,NL,89,73,0.5493826866149902,89.428213
2006,LAA,AL,89,73,0.5493826866149902,103.472
2014,CLE,AL,85,77,0.5246913433074951,82.151899
2016,MIL,NL,73,89,0.4506172835826874,68.775237
2010,LAN,NL,80,82,0.4938271641731262,95.358016
2011,CIN,NL,79,83,0.48765432834625244,75.947134
2010,CIN,NL,91,71,0.5617284178733826,71.761542
2010,PIT,NL,57,105,0.35185185074806213,34.943
2011,SLN,NL,90,72,0.5555555820465088,105.433572
2008,SFN,NL,72,90,0.4444444477558136,76.5945
2005,NYN,NL,83,79,0.5123456716537476,101.305821
2007,ATL,NL,84,78,0.5185185074806213,87.290833
2014,CIN,NL,76,86,0.4691357910633087,108.2175
2013,CHN,NL,66,96,0.40740740299224854,100.567726
2009,CHN,NL,83,78,0.5155279636383057,134.809
2009,ARI,NL,70,92,0.43209877610206604,73.115666
2010,ARI,NL,65,97,0.40123456716537476,60.718166
2010,NYA,AL,95,67,0.5864197611808777,206.333389
2008,ATL,NL,72,90,0.4444444477558136,102.365683
2005,MIL,NL,81,81,0.5,39.934833
2008,CIN,NL,74,88,0.45679011940956116,74.117695
2015,MIA,NL,71,91,0.4382716119289398,68.0565
2005,LAN,NL,71,91,0.4382716119289398,83.039
2011,TOR,AL,81,81,0.5,62.5678
2014,ATL,NL,79,83,0.48765432834625244,97.609
2015,CIN,NL,64,98,0.395061731338501,113.072286
2006,MIN,AL,96,66,0.5925925970077515,63.396006
2011,MIN,AL,63,99,0.3888888955116272,112.737
2007,ARI,NL,90,72,0.5555555820465088,52.067546
2006,BAL,AL,70,92,0.43209877610206604,72.585582
2005,DET,AL,71,91,0.4382716119289398,69.092
2009,SEA,AL,85,77,0.5246913433074951,98.904166
2009,LAA,AL,97,65,0.5987654328346252,113.709
2016,SFN,NL,87,75,0.5370370149612427,172.253778
2009,SFN,NL,88,74,0.5432098507881165,83.02645
2015,SFN,NL,84,78,0.5185185074806213,164.7015
2009,NYA,AL,103,59,0.6358024477958679,201.449189
2006,LAN,NL,88,74,0.5432098507881165,98.447187
2014,MIA,NL,77,85,0.4753086566925049,41.8369
2008,CHA,AL,89,74,0.546012282371521,121.189332
2009,TEX,AL,87,75,0.5370370149612427,68.178798
2013,TEX,AL,91,72,0.558282196521759,112.5226
2012,WAS,NL,98,64,0.604938268661499,80.855143
2015,MIN,AL,83,79,0.5123456716537476,107.755
2015,ATL,NL,67,95,0.4135802388191223,71.78125
2014,BOS,AL,71,91,0.4382716119289398,139.019929
2012,CHN,NL,61,101,0.37654322385787964,88.197033
2010,COL,NL,83,79,0.5123456716537476,84.227
2013,MIN,AL,66,96,0.40740740299224854,75.3375
2013,TBA,AL,92,71,0.5644171833992004,52.955272
